epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.683,1.0746,2.97246,1.12322,0.96247,0.19231,0.50143,0.39226,0.91164,2.80667,0.9452,0.0003333,0.0003333,0.0003333
2,856.774,0.91681,1.37551,0.99366,0.80305,0.46755,0.70226,0.52991,0.97877,2.05315,1.02488,0.000655346,0.000655346,0.000655346
3,1281.44,0.90165,1.06692,0.96969,0.8025,0.65775,0.81623,0.59025,0.92834,1.47722,0.97756,0.00095466,0.00095466,0.00095466
4,1710.71,0.89951,0.98073,0.98032,0.7735,0.79019,0.84789,0.63194,0.88869,1.27214,0.97095,0.00100101,0.00100101,0.00100101
5,2107.42,0.85713,0.88621,0.96506,0.74836,0.65611,0.8064,0.60485,0.88847,1.48069,0.94661,0.000964348,0.000964348,0.000964348
6,2505.48,0.81798,0.82971,0.95212,0.8881,0.8155,0.86296,0.65153,0.91757,0.93825,0.97817,0.000927685,0.000927685,0.000927685
7,2910.69,0.82355,0.79852,0.96089,0.91254,0.79115,0.90143,0.68092,0.84849,0.82505,0.95155,0.000891022,0.000891022,0.000891022
8,3319.98,0.77573,0.74912,0.92709,0.89246,0.85105,0.90138,0.69529,0.82448,0.77344,0.92727,0.000854359,0.000854359,0.000854359
9,3717.48,0.74582,0.73865,0.9269,0.89669,0.8659,0.92801,0.71996,0.77878,0.72915,0.9172,0.000817696,0.000817696,0.000817696
10,4125.3,0.74738,0.70368,0.9222,0.92012,0.86981,0.91871,0.71388,0.73638,0.68908,0.89877,0.000781033,0.000781033,0.000781033
11,4536.37,0.74346,0.69059,0.9283,0.90385,0.8601,0.9106,0.71745,0.7224,0.72071,0.90414,0.00074437,0.00074437,0.00074437
12,4946.06,0.71439,0.64866,0.91589,0.91115,0.8639,0.9432,0.72508,0.80719,0.71395,0.92155,0.000707707,0.000707707,0.000707707
13,5344.18,0.72317,0.64134,0.92236,0.90879,0.89556,0.93014,0.72232,0.74417,0.66038,0.89583,0.000671044,0.000671044,0.000671044
14,5744.39,0.72425,0.62783,0.92439,0.90277,0.88458,0.92376,0.71987,0.7355,0.65554,0.89538,0.000634381,0.000634381,0.000634381
15,6141.59,0.68777,0.5995,0.91801,0.90914,0.88206,0.92363,0.73171,0.75332,0.64317,0.90366,0.000597718,0.000597718,0.000597718
16,6557.66,0.69819,0.58478,0.9032,0.93157,0.89626,0.93479,0.73547,0.779,0.61537,0.91573,0.000561055,0.000561055,0.000561055
17,6956.99,0.67775,0.57561,0.90513,0.91557,0.88315,0.93127,0.74042,0.74488,0.60376,0.90791,0.000524392,0.000524392,0.000524392
18,7354.88,0.68838,0.57041,0.90315,0.89316,0.91283,0.93093,0.73955,0.70474,0.60503,0.89633,0.000487729,0.000487729,0.000487729
19,7751.34,0.65883,0.55473,0.90304,0.90653,0.8998,0.93206,0.74499,0.73109,0.57141,0.89033,0.000451066,0.000451066,0.000451066
20,8147.54,0.63721,0.53632,0.89535,0.9192,0.89258,0.93855,0.75043,0.69291,0.56021,0.88832,0.000414403,0.000414403,0.000414403
21,8554.13,0.6107,0.57545,0.86779,0.90135,0.90214,0.92122,0.74939,0.6976,0.57375,0.89014,0.00037774,0.00037774,0.00037774
22,8947.87,0.60188,0.54035,0.86472,0.90124,0.89347,0.92249,0.74046,0.71282,0.5943,0.89748,0.000341077,0.000341077,0.000341077
23,9341.99,0.58367,0.51648,0.85596,0.92302,0.88798,0.91349,0.73573,0.70945,0.59028,0.8951,0.000304414,0.000304414,0.000304414
24,9734.57,0.57016,0.49613,0.86039,0.92924,0.86059,0.92125,0.74567,0.68641,0.57897,0.88901,0.000267751,0.000267751,0.000267751
25,10126.1,0.5701,0.48235,0.85344,0.89305,0.89591,0.9252,0.75199,0.69781,0.57596,0.88864,0.000231088,0.000231088,0.000231088
26,10518.5,0.56487,0.47778,0.84854,0.89189,0.89668,0.92786,0.75,0.68737,0.54751,0.88276,0.000194425,0.000194425,0.000194425
27,10909.8,0.54338,0.45642,0.84657,0.89112,0.89022,0.92586,0.75612,0.6936,0.55367,0.88553,0.000157762,0.000157762,0.000157762
28,11302.2,0.5407,0.45591,0.85509,0.8933,0.89574,0.92338,0.75382,0.68214,0.5426,0.87974,0.000121099,0.000121099,0.000121099
29,11699.9,0.523,0.43779,0.85295,0.91082,0.89288,0.92453,0.75204,0.68702,0.53086,0.88554,8.4436e-05,8.4436e-05,8.4436e-05
30,12103.9,0.51955,0.43235,0.84943,0.90915,0.89737,0.92369,0.75323,0.68815,0.52517,0.88461,4.7773e-05,4.7773e-05,4.7773e-05
